"","ï..Sector","Sub.group.of.question","research.question","sub.research.question","repeat.var.value","independent.var.value","dependent.var.value","numbers","min","max","dependent.var"
"1","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","pal_leb",NA,2.70913462117529,2.5651969340547,2.85307230829589,"num_people_per_room"
"2","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","lebanese",NA,2.21990616967258,2.16353475840879,2.27627758093637,"num_people_per_room"
"3","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","pal_other",NA,2.34869131299013,2.07717718299978,2.62020544298047,"num_people_per_room"
"4","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","ethiopian",NA,1.83602899596042,1.51668283745822,2.15537515446261,"num_people_per_room"
"5","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","egyptian",NA,2.75550594119925,2.32418735239402,3.18682453000447,"num_people_per_room"
"6","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","nigerian",NA,0.984446110545209,0.12675931871674,1.84213290237368,"num_people_per_room"
"7","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","bangladeshi",NA,2.27671739643249,1.9947666960096,2.55866809685539,"num_people_per_room"
"8","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","sri_lankan",NA,1.28172814746455,0.977696359529267,1.58575993539983,"num_people_per_room"
"9","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","sudanese",NA,2.0116960656654,1.71360829228488,2.30978383904591,"num_people_per_room"
"10","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","iraqi",NA,2.31718882768033,1.45102386566409,3.18335378969658,"num_people_per_room"
"11","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","kenyan",NA,1.67329331877041,1.22366506428914,2.12292157325168,"num_people_per_room"
"12","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","other",NA,2.49172730869959,1.50526701162144,3.47818760577773,"num_people_per_room"
"13","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","ghanain",NA,1.24312437714888,0.781172810930471,1.70507594336729,"num_people_per_room"
"14","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","filipino",NA,2.29961642823223,0.611383524346011,3.98784933211845,"num_people_per_room"
"15","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","sierra_leone",NA,1.76602242469587,0.892877356018002,2.63916749337374,"num_people_per_room"
"17","Shelter","Shelter condition","% of HH reporting living in collapsed, partially collapsed  shelter or shelter with damaged structures","shelter_defects","all","bangladeshi","1",0.138519398951206,0.0875058246224289,0.189532973279983,"shelter_structure_issues"
"19","Shelter","Shelter condition","% of HH reporting living in collapsed, partially collapsed  shelter or shelter with damaged structures","shelter_defects","all","egyptian","1",0.194430318425298,0.113003012171647,0.27585762467895,"shelter_structure_issues"
"21","Shelter","Shelter condition","% of HH reporting living in collapsed, partially collapsed  shelter or shelter with damaged structures","shelter_defects","all","ethiopian","1",0.0356519897650699,0.00693308138799579,0.064370898142144,"shelter_structure_issues"
"22","Shelter","Shelter condition","% of HH reporting living in collapsed, partially collapsed  shelter or shelter with damaged structures","shelter_defects","all","filipino","1",0,0,0,"shelter_structure_issues"
"25","Shelter","Shelter condition","% of HH reporting living in collapsed, partially collapsed  shelter or shelter with damaged structures","shelter_defects","all","iraqi","1",0.0856389221663638,-0.0482426704160538,0.219520514748781,"shelter_structure_issues"
"26","Shelter","Shelter condition","% of HH reporting living in collapsed, partially collapsed  shelter or shelter with damaged structures","shelter_defects","all","kenyan","1",0,0,0,"shelter_structure_issues"
"28","Shelter","Shelter condition","% of HH reporting living in collapsed, partially collapsed  shelter or shelter with damaged structures","shelter_defects","all","lebanese","1",0.243770921234615,0.230681344788591,0.25686049768064,"shelter_structure_issues"
"29","Shelter","Shelter condition","% of HH reporting living in collapsed, partially collapsed  shelter or shelter with damaged structures","shelter_defects","all","nigerian","1",0,0,0,"shelter_structure_issues"
"31","Shelter","Shelter condition","% of HH reporting living in collapsed, partially collapsed  shelter or shelter with damaged structures","shelter_defects","all","other","1",0.0196549641257733,-0.0135492521432903,0.052859180394837,"shelter_structure_issues"
