"","ï..Sector","Sub.group.of.question","research.question","sub.research.question","repeat.var.value","independent.var.value","dependent.var.value","numbers","min","max","dependent.var"
"1","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","PRL",NA,2.64568152818194,2.51721723944385,2.77414581692003,"num_people_per_room"
"2","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","LEB",NA,2.21990616967258,2.16353475840879,2.27627758093637,"num_people_per_room"
"3","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","all","MIG",NA,2.13430635014026,1.97770436280005,2.29090833748046,"num_people_per_room"
"5","Shelter","Shelter condition","% of HH reporting living in collapsed, partially collapsed  shelter or shelter with damaged structures","shelter_defects","all","LEB","1",0.243770921234615,0.230681344788591,0.25686049768064,"shelter_structure_issues"
"7","Shelter","Shelter condition","% of HH reporting living in collapsed, partially collapsed  shelter or shelter with damaged structures","shelter_defects","all","MIG","1",0.103262329432013,0.0790494164136262,0.1274752424504,"shelter_structure_issues"
"9","Shelter","Shelter condition","% of HH reporting living in collapsed, partially collapsed  shelter or shelter with damaged structures","shelter_defects","all","PRL","1",0.364780428138804,0.329332591471608,0.400228264806001,"shelter_structure_issues"
"11","Shelter","Shelter condition","% of HH reporting WASH related issues in their shelter","shelter_defects","all","LEB","1",0.05920506837539,0.0519486465687541,0.0664614901820258,"shelter_wash_issues"
"13","Shelter","Shelter condition","% of HH reporting WASH related issues in their shelter","shelter_defects","all","MIG","1",0.036826104985292,0.0216268740612424,0.0520253359093416,"shelter_wash_issues"
"15","Shelter","Shelter condition","% of HH reporting WASH related issues in their shelter","shelter_defects","all","PRL","1",0.0825415673723238,0.0619223565243166,0.103160778220331,"shelter_wash_issues"
"17","Shelter","Nature of shelter","% of HH reporting to live in non sustainable shelter","shelter_type","all","LEB","1",0.0168528473740051,0.0123567514821336,0.0213489432658766,"critical_shelter"
"19","Shelter","Nature of shelter","% of HH reporting to live in non sustainable shelter","shelter_type","all","MIG","1",0.0455155251404073,0.0278664154519986,0.063164634828816,"critical_shelter"
"21","Shelter","Nature of shelter","% of HH reporting to live in non sustainable shelter","shelter_type","all","PRL","1",0.00962500228642091,0.00403233391831714,0.0152176706545247,"critical_shelter"
"22","Shelter","Nature of shelter","% of HH reporting living in non sustainable shelter with a physically disable member within the HH","wgss_walking","all","LEB","1",0,0,0,"critical_shelter_with_disabled"
"23","Shelter","Nature of shelter","% of HH reporting living in non sustainable shelter with a physically disable member within the HH","wgss_walking","all","MIG","1",0,0,0,"critical_shelter_with_disabled"
"24","Shelter","Nature of shelter","% of HH reporting living in non sustainable shelter with a physically disable member within the HH","wgss_walking","all","PRL","1",0,0,0,"critical_shelter_with_disabled"
"26","HLP","Nature of occupation","% of HH reporting living in rented shelter with difficulties to meet essentiel shelter needs in the pas three months","meet_shelter_needs","all","LEB","1",0.168333363273198,0.156527299610263,0.180139426936132,"hlp_difficulty_rented"
"28","HLP","Nature of occupation","% of HH reporting living in rented shelter with difficulties to meet essentiel shelter needs in the pas three months","meet_shelter_needs","all","MIG","1",0.197570008607359,0.166686506838632,0.228453510376087,"hlp_difficulty_rented"
"30","HLP","Nature of occupation","% of HH reporting living in rented shelter with difficulties to meet essentiel shelter needs in the pas three months","meet_shelter_needs","all","PRL","1",0.214473902708098,0.185261951105375,0.243685854310822,"hlp_difficulty_rented"
"32","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","LEB","1",0.0148480084771502,0.0107347351484235,0.018961281805877,"hlp_issues_rented_before_1992"
"34","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","MIG","1",0.00873164593608121,0.00333048603528639,0.014132805836876,"hlp_issues_rented_before_1992"
"36","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","PRL","1",0.0144329295847927,0.00531879985319683,0.0235470593163885,"hlp_issues_rented_before_1992"
"38","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","LEB","1",0.0166322794311647,0.0126098021244294,0.0206547567379001,"hlp_issues_rent_agreement_after_92"
"40","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","MIG","1",0.00267299958396893,-0.00171852337943897,0.00706452254737683,"hlp_issues_rent_agreement_after_92"
"42","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","PRL","1",0.0131085403447641,0.00500248800422104,0.0212145926853071,"hlp_issues_rent_agreement_after_92"
"44","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","LEB","1",0.00455781939689796,0.00251185704428342,0.00660378174951249,"hlp_issues_informal_verbal"
