"","ï..Sector","Sub.group.of.question","research.question","sub.research.question","repeat.var.value","independent.var.value","dependent.var.value","numbers","min","max","dependent.var"
"1","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","South and Nabatieh","PRL",NA,2.6936329588015,2.47777518545086,2.90949073215213,"num_people_per_room"
"2","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","South and Nabatieh","MIG",NA,2.11415525114155,1.85788239305636,2.37042810922675,"num_people_per_room"
"3","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","Saida","LEB",NA,2.089780521262,1.94374314653278,2.23581789599122,"num_people_per_room"
"4","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","BML","PRL",NA,2.49297752808989,2.26509102358187,2.7208640325979,"num_people_per_room"
"5","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","BML","MIG",NA,2.37365591397849,2.14654624856948,2.60076557938751,"num_people_per_room"
"6","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","El Meten","LEB",NA,1.82832244008715,1.64686523016953,2.00977965000476,"num_people_per_room"
"7","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","Akkar","LEB",NA,3.08070175438596,2.74668800548342,3.41471550328851,"num_people_per_room"
"8","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","Baalbek-El Hermel and Bekaa","PRL",NA,3.10244648318043,2.78984362807528,3.41504933828558,"num_people_per_room"
"9","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","Baalbek-El Hermel and Bekaa","MIG",NA,1.64197530864198,1.42363219936102,1.86031841792293,"num_people_per_room"
"10","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","Beirut","LEB",NA,1.94963541666667,1.81208996845033,2.087180864883,"num_people_per_room"
"11","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","North and Akkar","PRL",NA,2.60180623973727,2.41101516504321,2.79259731443134,"num_people_per_room"
"12","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","North and Akkar","MIG",NA,2.46388888888889,2.04968226277251,2.87809551500526,"num_people_per_room"
"13","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","El Batroun","LEB",NA,1.56744966442953,1.43766853333955,1.69723079551951,"num_people_per_room"
"14","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","Tripoli","LEB",NA,2.92948717948718,2.69997498170874,3.15899937726561,"num_people_per_room"
"15","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","Sour","LEB",NA,2.33228511530398,2.12547415439357,2.53909607621439,"num_people_per_room"
"16","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","Kesrwane","LEB",NA,1.74878048780488,1.61381667091885,1.88374430469091,"num_people_per_room"
"17","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","Zgharta","LEB",NA,1.74659685863874,1.61771543901102,1.87547827826647,"num_people_per_room"
"18","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","Baalbek","LEB",NA,3.1952380952381,2.82926380006939,3.56121239040681,"num_people_per_room"
"19","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","Zahle","LEB",NA,2.4462703962704,2.13513284429522,2.75740794824557,"num_people_per_room"
"20","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","West Bekaa","LEB",NA,2.72929606625259,2.48172286155045,2.97686927095473,"num_people_per_room"
"21","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","El Koura","LEB",NA,1.75636942675159,1.56999954327135,1.94273931023183,"num_people_per_room"
"22","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","Hasbaya","LEB",NA,2.24641577060932,2.05656515220207,2.43626638901657,"num_people_per_room"
"23","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","El Minieh-Dennie","LEB",NA,2.50129533678756,2.29875213325876,2.70383854031637,"num_people_per_room"
"24","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","Chouf","LEB",NA,1.8841059602649,1.7322244071545,2.0359875133753,"num_people_per_room"
"25","Shelter","Superficy","Number of people by sleeping areas","calc_num_non_hh_members","Aley","LEB",NA,2.05430711610487,1.86423726530723,2.2443769669025,"num_people_per_room"
