"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"hh1","all","1","nationwide",0.506172839506173,NA,0.453309270693665,0.559036408318681,"district","Saida"
"hh1","all","2","nationwide",0.197530864197531,NA,0.155433856715258,0.239627871679804,"district","Saida"
"hh1","all","3","nationwide",0.0288065843621399,NA,0.0111210444904839,0.0464921242337959,"district","Saida"
"hh1","all","4","nationwide",0.267489711934156,NA,0.220686034273032,0.314293389595281,"district","Saida"
"hh1","all","1","nationwide",0.607843137254902,NA,0.54270563046102,0.672980644048784,"district","El Meten"
"hh1","all","2","nationwide",0.163398692810457,NA,0.114071202361212,0.212726183259703,"district","El Meten"
"hh1","all","3","nationwide",0.0392156862745098,NA,0.013318753788656,0.0651126187603636,"district","El Meten"
"hh1","all","4","nationwide",0.189542483660131,NA,0.13725185374778,0.241833113572481,"district","El Meten"
"hh1","all","1","nationwide",0.427631578947368,NA,0.361408175048178,0.493854982846559,"district","Akkar"
"hh1","all","2","nationwide",0.335526315789474,NA,0.272322838869703,0.398729792709245,"district","Akkar"
"hh1","all","3","nationwide",0.0526315789473684,NA,0.0227418872987239,0.0825212705960129,"district","Akkar"
"hh1","all","4","nationwide",0.184210526315789,NA,0.132320361101887,0.236100691529692,"district","Akkar"
"hh1","all","1","nationwide",0.490625,NA,0.444586033554101,0.536663966445899,"district","Beirut"
"hh1","all","2","nationwide",0.271875,NA,0.230899947021016,0.312850052978984,"district","Beirut"
"hh1","all","3","nationwide",0.046875,NA,0.0274089656166255,0.0663410343833745,"district","Beirut"
"hh1","all","4","nationwide",0.190625,NA,0.154450983154533,0.226799016845467,"district","Beirut"
"hh1","all","1","nationwide",0.516778523489933,NA,0.449213529653134,0.584343517326732,"district","El Batroun"
"hh1","all","2","nationwide",0.25503355704698,NA,0.196099896348663,0.313967217745297,"district","El Batroun"
"hh1","all","3","nationwide",0.0134228187919463,NA,-0.00213625698325763,0.0289818945671502,"district","El Batroun"
"hh1","all","4","nationwide",0.214765100671141,NA,0.159241445200811,0.270288756141471,"district","El Batroun"
"hh1","all","1","nationwide",0.34841628959276,NA,0.295577817437652,0.401254761747868,"district","Tripoli"
"hh1","all","2","nationwide",0.199095022624434,NA,0.154812065534951,0.243377979713918,"district","Tripoli"
"hh1","all","3","nationwide",0.0542986425339367,NA,0.0291689364705192,0.0794283485973541,"district","Tripoli"
"hh1","all","4","nationwide",0.398190045248869,NA,0.343903675640797,0.452476414856941,"district","Tripoli"
"hh1","all","1","nationwide",0.490566037735849,NA,0.425148920829787,0.555983154641911,"district","Sour"
"hh1","all","2","nationwide",0.169811320754717,NA,0.120678642701482,0.218943998807951,"district","Sour"
"hh1","all","3","nationwide",0.0188679245283019,NA,0.00106364043231904,0.0366722086242847,"district","Sour"
"hh1","all","4","nationwide",0.320754716981132,NA,0.259674783588593,0.381834650373671,"district","Sour"
"hh1","all","1","nationwide",0.560975609756098,NA,0.497038975799208,0.624912243712987,"district","Kesrwane"
"hh1","all","2","nationwide",0.274390243902439,NA,0.216903283764375,0.331877204040503,"district","Kesrwane"
"hh1","all","3","nationwide",0.0121951219512195,NA,-0.00194529161962559,0.0263355355220646,"district","Kesrwane"
"hh1","all","4","nationwide",0.152439024390244,NA,0.106129852917679,0.198748195862809,"district","Kesrwane"
"hh1","all","1","nationwide",0.56020942408377,NA,0.50097848463517,0.619440363532369,"district","Zgharta"
"hh1","all","2","nationwide",0.183246073298429,NA,0.137081012652266,0.229411133944592,"district","Zgharta"
"hh1","all","3","nationwide",0.0157068062827225,NA,0.000869446046117812,0.0305441665193272,"district","Zgharta"
